fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option
3.31E+18,Organic Search,0,United States,Philadelphia,NULL,NULL,0,1,1,2017-07-18,1500429273,PAGE,NULL,21,GGOEGAAX0355,Google Men's Vintage Tank,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.43E+18,Referral,27968,United States,not available in demo dataset,396000000,1,27968,12,NULL,2017-05-28,1495994469,PAGE,NULL,149,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,Home/Nest/Nest-USA/,(not set),USD,NULL,NULL,Nest-USA,NULL,/google+redesign/,0,1,NULL
3.88E+17,Organic Search,0,United States,not available in demo dataset,23990000,1,0,16,NULL,2017-06-14,1497459609,PAGE,NULL,35,GGOEGAAX0334,Android Men's Long Sleeve Badge Crew Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.80E+17,Referral,89245,Switzerland,not available in demo dataset,NULL,NULL,89245,4,NULL,2017-06-15,1497532495,PAGE,NULL,60,GGOEGBPB082099,UpCycled Handlebar Bag,(not set),(not set),USD,NULL,NULL,Store search results,NULL,/asearch.html,0,1,NULL
7.70E+18,Organic Search,0,India,Bengaluru,NULL,NULL,0,1,NULL,2017-07-02,1498994304,PAGE,NULL,17,GGOEGAAX0655,Google Toddler Short Sleeve T-shirt Grey,Home/Apparel/Kid's/Kid's-Toddler/,(not set),USD,NULL,NULL,Toddler | Kids' Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.26E+18,Organic Search,0,United States,New York,NULL,NULL,0,4,1,2017-07-25,1501022807,PAGE,NULL,23,GGOEGESB015099,Basecamp Explorer Powerbank Flashlight,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
5.28E+18,Direct,592566,United States,Irvine,NULL,NULL,592566,14,NULL,2017-05-16,1494955325,PAGE,NULL,10,GGOEGBJC014399,Google Tote Bag,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.50E+18,Organic Search,54570,Japan,Shinjuku,NULL,NULL,54570,4,NULL,2017-05-18,1495089660,PAGE,NULL,19,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,Home/Drinkware/,(not set),USD,NULL,NULL,Drinkware | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.95E+18,Referral,16066,United States,Mountain View,NULL,NULL,16066,4,NULL,2017-06-20,1497974795,PAGE,NULL,199,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,(not set),(not set),USD,NULL,NULL,Store search results,NULL,/asearch.html,0,1,NULL
8.27E+17,Referral,108758,United States,Sunnyvale,NULL,NULL,108758,8,8,2017-07-28,1501274540,PAGE,NULL,79,GGOEGAAX0598,Google Men's Convertible Vest-Jacket Pewter,Home/Apparel/Men's/Men's-Performance Wear/,(not set),USD,NULL,NULL,Men's Performance Wear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
3.54E+17,Organic Search,440528,Japan,not available in demo dataset,NULL,NULL,440528,15,NULL,2017-05-07,1494162154,PAGE,NULL,3,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Home/Office/,(not set),USD,NULL,NULL,Office | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
2.08E+18,Referral,13127,United States,New York,NULL,NULL,13127,2,NULL,2017-05-16,1494941846,PAGE,NULL,75,GGOEGAAX0604,Google Women's Quilted Insulated Vest Black,Home/Apparel/Women's/Women's-Outerwear/,(not set),USD,NULL,NULL,Women's Outerwear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.28E+17,Organic Search,78833,United States,not available in demo dataset,NULL,NULL,78833,6,NULL,2017-05-24,1495692795,PAGE,NULL,19,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,(not set),(not set),USD,NULL,NULL,Store search results,NULL,/asearch.html,0,1,NULL
8.84E+18,Direct,168537,United States,Mountain View,NULL,NULL,168537,5,NULL,2017-05-18,1495151021,PAGE,NULL,40,GGOEGEVA022399,Micro Wireless Earbud,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.25E+16,Direct,0,United States,not available in demo dataset,NULL,NULL,0,1,1,2017-07-06,1499382869,PAGE,NULL,24,GGOEGAAX0364,Google Women's Tee Grey,Home/Apparel/Women's/,(not set),USD,NULL,NULL,Women's Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.58E+18,Direct,90434,United States,not available in demo dataset,NULL,NULL,90434,3,NULL,2017-06-11,1497232439,PAGE,NULL,17,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/,(not set),USD,NULL,NULL,Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.84E+17,Organic Search,0,Mexico,Mexico City,NULL,NULL,0,1,NULL,2017-06-25,1498420563,PAGE,NULL,30,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.45E+18,Organic Search,0,Germany,not available in demo dataset,NULL,NULL,0,1,NULL,2017-05-21,1495351309,PAGE,NULL,21,GGOEGAAX0356,YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
4.94E+17,Organic Search,46808,United States,Los Angeles,NULL,NULL,46808,4,NULL,2017-05-25,1495771467,PAGE,NULL,19,GGOEGHPJ080310,Google Blackout Cap,Home/Apparel/,(not set),USD,NULL,NULL,Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
5.62E+18,Direct,0,United States,not available in demo dataset,NULL,NULL,0,1,NULL,2017-05-03,1493880175,PAGE,NULL,199,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Home/Nest/Nest-USA/,(not set),USD,NULL,NULL,Nest-USA,NULL,/google+redesign/,0,1,NULL
9.45E+18,Direct,71458,United States,San Francisco,NULL,NULL,71458,6,NULL,2017-06-17,1497722586,PAGE,NULL,17,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/,(not set),USD,NULL,NULL,Men's Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.60E+18,Organic Search,0,United States,not available in demo dataset,NULL,NULL,0,4,1,2017-07-24,1500956068,PAGE,NULL,19,GGOEGAAX0290,YouTube Women's Short Sleeve Hero Tee Charcoal,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
5.38E+18,Paid Search,0,United States,San Jose,NULL,NULL,0,1,1,2017-07-15,1500177237,PAGE,NULL,12,GGOEGKWR060810,Google Bib Red,Home/Apparel/Kid's/,(not set),USD,NULL,NULL,Kids' Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.50E+18,Organic Search,222185,Italy,Rome,NULL,NULL,222185,14,NULL,2017-06-29,1498766839,PAGE,NULL,2,GGOEGFKA022299,Keyboard DOT Sticker,Home/Office/,(not set),USD,NULL,NULL,Office | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.75E+18,Referral,65743,United States,New York,NULL,NULL,65743,7,NULL,2017-06-02,1496415134,PAGE,NULL,16,GGOEGOAJ021599,Gunmetal Roller Ball Pen,Home/Clearance Sale/,(not set),USD,NULL,NULL,Clearance Sale,NULL,/store.html,0,1,NULL
